"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2001","Scott Rolen","Phillies","151","653","25","96","107","16","11.3 %","19.4 %",".209",".326",".289",".378",".498",".373","126","1.0","23.6","12.3","5.6","970"
"2002","Alfonso Soriano","Yankees","156","741","39","128","102","41","3.1 %","21.2 %",".247",".335",".300",".332",".547",".374","131","7.8","35.8","-4.8","5.6","847"
"2001","Phil Nevin","Padres","149","624","41","97","126","4","11.4 %","23.6 %",".282",".349",".306",".388",".588",".408","154","-1.0","43.0","-6.0","5.6","1049"
"2001","J.D. Drew","Cardinals","109","443","27","80","73","13","12.9 %","16.9 %",".291",".339",".323",".414",".613",".429","162","1.3","37.4","5.2","5.6","1152"
"2005","Grady Sizemore","Indians","158","706","22","111","81","22","7.4 %","18.7 %",".195",".334",".289",".348",".484",".359","123","2.8","22.3","9.5","5.6","2197"
"2007","Jose Reyes","Mets","160","765","12","119","57","78","10.1 %","10.2 %",".141",".302",".280",".354",".421",".337","101","11.6","13.0","18.9","5.6","1736"
"2003","Bobby Abreu","Phillies","158","695","20","99","101","22","15.7 %","18.1 %",".168",".349",".300",".409",".468",".379","131","0.8","28.6","5.2","5.6","945"
"2001","Eric Chavez","Athletics","151","604","32","91","114","8","6.8 %","16.4 %",".252",".297",".288",".338",".540",".364","125","0.7","20.1","15.1","5.5","906"
"2001","Brian Giles","Pirates","160","674","37","116","95","13","13.4 %","9.9 %",".281",".296",".309",".404",".590",".413","150","0.0","44.4","-10.0","5.5","990"
"2007","Russell Martin","Dodgers","151","620","19","87","87","21","10.8 %","14.4 %",".176",".317",".293",".374",".469",".369","122","0.7","18.3","17.5","5.5","4616"
"2001","Mike Cameron","Mariners","150","633","25","99","110","34","10.9 %","24.5 %",".213",".319",".267",".353",".480",".354","120","4.6","20.9","13.1","5.5","1070"
"2002","Mike Cameron","Mariners","158","640","25","84","80","31","12.3 %","27.5 %",".204",".301",".239",".340",".442",".341","113","9.2","19.6","13.6","5.5","1070"
"2004","Carlos Lee","White Sox","153","658","31","103","99","11","8.2 %","13.1 %",".220",".310",".305",".366",".525",".379","127","3.4","26.4","7.5","5.5","243"
"2002","Todd Helton","Rockies","156","668","30","107","109","5","14.8 %","13.6 %",".248",".344",".329",".429",".577",".421","141","-1.7","32.9","0.2","5.5","432"
"2008","Alex Rios","Blue Jays","155","687","15","91","79","32","6.4 %","16.3 %",".170",".331",".291",".337",".461",".346","110","5.0","13.2","18.2","5.5","2090"
"2006","Scott Rolen","Cardinals","142","594","22","94","95","7","9.4 %","11.6 %",".223",".301",".296",".369",".518",".374","126","2.6","23.2","13.5","5.5","970"
"2007","Aaron Rowand","Phillies","161","684","27","105","89","6","6.9 %","17.4 %",".206",".345",".309",".374",".515",".384","127","2.4","26.3","6.9","5.4","254"
"2009","Ichiro Suzuki","Mariners","146","678","11","88","46","26","4.7 %","10.5 %",".113",".384",".352",".386",".465",".367","125","7.6","29.1","2.1","5.4","1101"
"2007","Victor Martinez","Indians","147","645","25","78","114","0","9.6 %","11.8 %",".205",".305",".301",".374",".505",".373","129","-2.5","20.8","12.7","5.4","393"
"2002","Albert Pujols","Cardinals","157","675","34","118","127","2","10.7 %","10.2 %",".247",".308",".314",".394",".561",".404","150","0.5","42.6","-10.2","5.4","1177"
"2004","Carlos Guillen","Tigers","136","583","20","97","97","12","8.9 %","14.9 %",".224",".348",".318",".379",".542",".391","141","3.6","33.8","2.0","5.4","1079"
"2001","Jim Thome","Indians","156","644","49","101","124","0","17.2 %","28.7 %",".333",".353",".291",".416",".624",".429","167","-0.5","53.8","-20.6","5.4","409"
"2002","Carlos Beltran","Royals","162","722","29","114","105","35","9.8 %","18.7 %",".228",".302",".273",".346",".501",".364","117","6.6","21.3","8.1","5.4","589"
"2000","Ken Griffey Jr.","Reds","145","631","40","100","118","6","14.9 %","18.5 %",".285",".272",".271",".387",".556",".392","127","-0.6","22.8","13.1","5.4","327"
"2005","Placido Polanco","- - -","129","551","9","84","56","4","6.0 %","4.5 %",".116",".333",".331",".383",".447",".365","124","0.7","16.9","18.4","5.4","1176"
"2009","Matt Holliday","- - -","156","670","24","94","109","14","10.7 %","15.1 %",".201",".341",".313",".394",".515",".391","141","0.5","34.7","-3.3","5.4","1873"
"2001","Carlos Beltran","Royals","155","680","24","106","101","31","7.6 %","17.6 %",".207",".345",".306",".362",".514",".373","122","5.7","24.4","6.9","5.4","589"
"2002","Larry Walker","Rockies","136","553","26","95","104","6","11.8 %","13.2 %",".264",".353",".338",".421",".602",".433","150","4.1","38.4","-2.7","5.4","455"
"2008","Ryan Ludwick","Cardinals","152","617","37","104","113","4","10.0 %","23.7 %",".292",".342",".299",".375",".591",".408","151","2.6","42.2","-8.3","5.4","1260"
"2006","Alfonso Soriano","Nationals","159","728","46","119","95","41","9.2 %","22.0 %",".283",".300",".277",".351",".560",".377","129","3.9","31.8","-0.5","5.4","847"
"2006","Garrett Atkins","Rockies","157","695","29","117","120","4","11.4 %","10.9 %",".228",".335",".329",".409",".556",".409","138","-1.8","32.5","-0.3","5.4","1790"
"2009","Troy Tulowitzki","Rockies","151","628","32","101","92","20","11.6 %","17.8 %",".256",".316",".297",".377",".552",".395","132","-1.2","23.6","9.7","5.4","3531"
"2004","Eric Chavez","Athletics","125","577","29","87","77","6","16.5 %","17.2 %",".225",".291",".276",".397",".501",".384","133","0.4","25.0","10.2","5.3","906"
"2002","Edgardo Alfonzo","Mets","135","562","16","78","56","6","11.0 %","9.8 %",".151",".320",".308",".391",".459",".371","129","5.8","26.2","8.8","5.3","859"
"2000","Edgar Martinez","Mariners","153","665","37","100","145","3","14.4 %","14.3 %",".255",".331",".324",".423",".579",".424","154","0.7","49.5","-15.9","5.3","1086"
"2003","Carlos Delgado","Blue Jays","161","705","42","117","145","0","15.5 %","19.4 %",".291",".327",".302",".426",".593",".423","159","-2.3","49.5","-19.7","5.3","1297"
"2007","Placido Polanco","Tigers","142","641","9","105","67","7","5.8 %","4.7 %",".118",".346",".341",".388",".458",".372","125","0.9","20.9","11.5","5.3","1176"
"2006","David Ortiz","Red Sox","151","686","54","115","137","1","17.3 %","17.1 %",".349",".270",".287",".413",".636",".427","157","-4.0","46.6","-15.3","5.3","745"
"2004","Andruw Jones","Braves","154","646","29","85","91","6","11.0 %","22.8 %",".226",".303",".261",".345",".488",".353","112","-3.9","6.0","26.7","5.3","96"
"2002","Manny Ramirez","Red Sox","120","518","33","84","107","0","14.1 %","16.4 %",".298",".373",".349",".450",".647",".459","185","-5.4","48.9","-13.4","5.3","210"
"2005","Travis Hafner","Indians","137","578","33","94","108","0","13.7 %","21.3 %",".290",".344",".305",".408",".595",".423","166","0.5","46.9","-13.6","5.3","1573"
"2005","David Ortiz","Red Sox","159","713","47","119","148","1","14.3 %","17.4 %",".304",".303",".300",".397",".604",".418","157","-4.1","45.7","-17.0","5.3","745"
"2005","Vladimir Guerrero","Angels","141","594","32","95","108","13","10.3 %","8.1 %",".248",".299",".317",".394",".565",".397","148","-0.6","34.4","-1.8","5.3","778"
"2001","Bobby Abreu","Phillies","162","704","31","118","110","36","15.1 %","19.5 %",".253",".324",".289",".393",".543",".393","139","1.1","37.2","-6.3","5.3","945"
"2004","Adam Dunn","Reds","161","681","46","105","102","6","15.9 %","28.6 %",".303",".321",".266",".388",".569",".402","142","4.7","41.3","-10.1","5.3","319"
"2003","Mike Cameron","Mariners","147","612","18","74","76","17","11.4 %","22.4 %",".178",".307",".253",".344",".431",".340","110","3.0","11.0","21.4","5.3","1070"
"2001","Troy Glaus","Angels","161","708","41","100","108","10","15.1 %","22.3 %",".281",".268",".250",".367",".531",".378","133","0.7","30.1","-0.8","5.3","15"
"2000","Charles Johnson","- - -","128","478","31","76","91","2","10.9 %","22.2 %",".278",".338",".304",".379",".582",".407","141","0.5","27.3","12.0","5.3","523"
"2003","Andruw Jones","Braves","156","659","36","101","116","4","8.0 %","19.0 %",".235",".293",".277",".338",".513",".362","118","-3.0","12.1","19.5","5.2","96"
"2009","Derrek Lee","Cubs","141","615","35","91","111","1","12.4 %","17.7 %",".273",".327",".306",".393",".579",".413","150","-0.9","37.0","-4.4","5.2","525"
"2001","Jeff Bagwell","Astros","161","717","39","126","130","11","14.8 %","18.8 %",".280",".311",".288",".397",".568",".407","143","0.9","41.2","-11.1","5.2","547"
"2009","Jason Bartlett","Rays","137","567","14","90","66","30","9.5 %","15.7 %",".170",".364",".320",".389",".490",".383","136","7.1","32.7","0.2","5.2","8219"
"2005","Coco Crisp","Indians","145","656","16","86","69","15","6.7 %","12.3 %",".165",".323",".300",".345",".465",".350","116","5.5","18.6","11.4","5.2","1572"
"2006","Jason Bay","Pirates","159","689","35","101","109","11","14.8 %","22.6 %",".246",".330",".286",".396",".532",".392","137","2.5","36.3","-5.2","5.2","1717"
"2002","Luis Gonzalez","Diamondbacks","148","633","28","90","103","9","15.3 %","12.0 %",".208",".288",".288",".400",".496",".387","131","3.3","28.2","3.4","5.2","55"
"2002","Derek Jeter","Yankees","157","730","18","124","75","32","10.0 %","15.6 %",".124",".336",".297",".373",".421",".352","116","5.9","20.5","7.0","5.2","826"
"2002","Bobby Abreu","Phillies","157","685","20","102","85","31","15.2 %","17.1 %",".213",".354",".308",".413",".521",".401","148","2.1","42.8","-13.1","5.2","945"
"2009","Pablo Sandoval","Giants","153","633","25","79","90","5","8.2 %","13.1 %",".226",".350",".330",".387",".556",".399","146","0.0","36.2","-4.7","5.2","5409"
"2007","Troy Tulowitzki","Rockies","155","682","24","104","99","7","8.4 %","19.1 %",".189",".335",".291",".359",".479",".364","109","0.4","8.4","22.2","5.2","3531"
"2007","Hanley Ramirez","Marlins","154","706","29","125","81","51","7.4 %","13.5 %",".230",".353",".332",".386",".562",".405","144","3.7","43.8","-14.0","5.2","8001"
"2000","David Justice","- - -","146","606","41","89","118","2","12.7 %","15.0 %",".298",".276",".286",".377",".584",".404","137","0.0","30.8","2.4","5.2","923"
"2007","Alex Rios","Blue Jays","161","711","24","114","85","17","7.7 %","14.5 %",".201",".319",".297",".354",".498",".366","122","6.4","26.4","1.9","5.2","2090"
"2008","Randy Winn","Giants","155","667","10","84","64","25","8.8 %","13.2 %",".120",".340",".306",".363",".426",".345","107","9.7","15.5","14.7","5.2","1235"
"2005","Eric Chavez","Athletics","160","694","27","92","101","6","8.4 %","18.6 %",".197",".295",".269",".329",".466",".340","110","6.3","15.0","13.1","5.2","906"
"2001","Manny Ramirez","Red Sox","142","620","41","93","125","0","13.1 %","23.7 %",".302",".353",".306",".405",".609",".415","156","-0.5","43.1","-11.9","5.2","210"
"2005","Marcus Giles","Braves","152","654","15","104","63","16","9.8 %","16.5 %",".170",".334",".291",".365",".461",".360","119","3.5","19.1","11.0","5.2","89"
"2005","Miguel Cabrera","Marlins","158","685","33","106","116","1","9.3 %","18.2 %",".238",".358",".323",".385",".561",".399","146","-1.0","39.0","-10.0","5.1","1744"
"2008","Brian McCann","Braves","145","573","23","68","87","5","9.9 %","11.2 %",".222",".306",".301",".373",".523",".386","135","-4.8","20.5","12.6","5.1","4810"
"2008","Jayson Werth","Phillies","134","482","24","73","67","20","11.8 %","24.7 %",".225",".324",".273",".363",".498",".374","125","6.6","21.5","14.4","5.1","1327"
"2003","Garret Anderson","Angels","159","673","29","80","116","6","4.6 %","12.3 %",".226",".325",".315",".345",".541",".372","129","0.9","25.3","3.6","5.1","2"
"2003","Alfonso Soriano","Yankees","156","734","38","114","91","35","5.2 %","17.7 %",".235",".310",".290",".338",".525",".365","124","6.7","29.0","-2.3","5.1","847"
"2001","Paul Lo Duca","Dodgers","125","519","25","71","90","2","7.5 %","5.8 %",".224",".295",".320",".374",".543",".387","140","-1.4","25.5","9.8","5.1","662"
"2009","Mark Teixeira","Yankees","156","707","39","103","122","2","11.5 %","16.1 %",".273",".302",".292",".383",".565",".402","142","0.7","37.8","-11.0","5.1","1281"
"2006","Bill Hall","Brewers","148","608","35","101","85","8","10.4 %","26.6 %",".283",".320",".270",".345",".553",".374","124","0.3","19.4","13.1","5.1","1605"
"2007","Carlos Beltran","Mets","144","636","33","93","112","23","10.8 %","17.5 %",".249",".286",".276",".353",".525",".369","122","7.7","26.1","5.1","5.1","589"
"2004","Carl Crawford","Devil Rays","152","672","11","104","55","59","5.2 %","12.1 %",".155",".322",".296",".331",".450",".335","101","10.6","11.1","18.2","5.1","1201"
"2005","Randy Winn","- - -","160","683","20","85","63","19","7.0 %","13.3 %",".193",".332",".306",".360",".499",".368","127","3.8","27.3","0.5","5.1","1235"
"2009","Ryan Braun","Brewers","158","708","32","113","114","20","8.1 %","17.1 %",".231",".353",".320",".386",".551",".403","149","6.4","48.8","-20.8","5.1","3410"
"2002","Sammy Sosa","Cubs","150","666","49","122","108","2","15.5 %","21.6 %",".306",".302",".288",".399",".594",".416","157","1.2","48.9","-20.1","5.1","302"
"2002","Corey Koskie","Twins","140","576","15","71","69","10","12.5 %","22.0 %",".180",".329",".267",".368",".447",".356","116","-2.5","9.0","21.9","5.0","738"
"2009","Shin-Soo Choo","Indians","156","685","20","87","86","21","11.4 %","22.0 %",".189",".370",".300",".394",".489",".384","134","6.5","35.6","-8.7","5.0","3174"
"2003","Trot Nixon","Red Sox","134","513","28","81","87","4","12.7 %","18.7 %",".272",".334",".306",".396",".578",".412","152","0.0","33.6","-0.2","5.0","204"
"2004","Brad Wilkerson","Expos","160","688","32","112","67","13","15.4 %","22.1 %",".243",".292",".255",".374",".498",".373","121","4.4","23.3","5.0","5.0","804"
"2004","Corey Patterson","Cubs","157","687","24","91","72","32","6.6 %","24.5 %",".185",".327",".266",".320",".452",".329","94","6.4","1.4","27.0","5.0","300"
"2004","Brian Giles","Padres","159","711","23","97","94","10","12.5 %","11.3 %",".190",".291",".284",".374",".475",".365","127","7.9","32.5","-5.0","5.0","990"
"2007","Miguel Cabrera","Marlins","157","680","34","91","119","2","11.6 %","18.7 %",".245",".355",".320",".401",".565",".403","142","-5.5","31.9","-3.0","5.0","1744"
"2002","Jacque Jones","Twins","149","626","27","96","85","6","5.9 %","20.6 %",".211",".342",".300",".341",".511",".364","121","0.8","17.3","11.5","5.0","735"
"2009","Miguel Cabrera","Tigers","160","685","34","96","103","6","9.9 %","15.6 %",".223",".348",".324",".396",".547",".402","143","-3.5","33.2","-6.7","5.0","1744"
"2001","Ivan Rodriguez","Rangers","111","470","25","70","65","10","4.9 %","15.5 %",".233",".322",".308",".347",".541",".375","125","0.7","15.6","18.8","5.0","1275"
"2008","Jimmy Rollins","Phillies","137","625","11","76","59","47","9.3 %","8.8 %",".160",".290",".277",".349",".437",".342","104","8.1","11.0","18.8","5.0","971"
"2004","Jimmy Rollins","Phillies","154","725","14","119","73","30","7.9 %","10.1 %",".166",".308",".289",".348",".455",".347","105","8.7","13.0","13.7","5.0","971"
"2000","Roberto Alomar","Indians","155","697","19","111","89","39","9.2 %","11.8 %",".166",".330",".310",".378",".475",".371","114","6.1","18.9","9.2","5.0","860"
"2003","Melvin Mora","Orioles","96","413","15","68","48","6","11.9 %","17.2 %",".186",".362",".317",".418",".503",".403","151","5.6","32.0","4.4","5.0","157"
"2003","Jason Giambi","Yankees","156","690","41","97","107","2","18.7 %","20.3 %",".277",".259",".250",".412",".527",".402","149","0.3","42.8","-16.0","5.0","818"
"2002","Austin Kearns","Reds","107","435","13","66","56","6","12.4 %","18.6 %",".185",".370",".315",".407",".500",".394","139","1.5","22.6","12.8","5.0","332"
"2009","Matt Kemp","Dodgers","159","667","26","97","101","34","7.8 %","20.8 %",".193",".345",".297",".352",".490",".362","123","4.3","22.9","5.1","4.9","5631"
"2003","Corey Koskie","Twins","131","562","14","76","69","11","13.7 %","20.1 %",".160",".350",".292",".393",".452",".369","125","3.4","20.7","10.1","4.9","738"
"2009","Justin Upton","Diamondbacks","138","588","26","84","86","20","9.4 %","23.3 %",".232",".360",".300",".366",".532",".385","130","7.3","29.0","1.6","4.9","5222"
"2000","Shannon Stewart","Blue Jays","136","631","21","107","69","20","5.9 %","12.5 %",".199",".339",".319",".363",".518",".378","119","1.8","18.2","11.0","4.9","1322"
"2006","Miguel Tejada","Orioles","162","709","24","99","100","6","6.5 %","11.1 %",".168",".345",".330",".379",".498",".374","125","-3.8","18.7","7.8","4.9","941"
"2001","Andruw Jones","Braves","161","693","34","104","104","11","8.1 %","20.5 %",".210",".269",".251",".312",".461",".328","97","0.4","-2.4","29.5","4.9","96"
"2006","Nick Johnson","Nationals","147","628","23","100","77","10","17.5 %","15.8 %",".230",".320",".290",".428",".520",".404","147","-1.1","37.6","-7.6","4.9","828"
"2000","Bernie Williams","Yankees","141","616","30","108","121","13","11.5 %","13.6 %",".259",".317",".307",".391",".566",".403","138","0.4","32.5","-1.4","4.9","857"
"2002","Bernie Williams","Yankees","154","699","19","102","102","8","11.9 %","13.9 %",".160",".372",".333",".415",".493",".396","146","1.6","40.8","-15.5","4.9","857"
"2007","Brian Roberts","Orioles","156","716","12","103","57","50","12.4 %","13.8 %",".142",".327",".290",".377",".432",".356","115","9.1","22.4","3.0","4.9","166"
"2001","Jeff Kent","Giants","159","696","22","84","106","7","9.3 %","13.8 %",".209",".317",".298",".369",".507",".372","128","-1.2","23.9","3.2","4.9","1119"
"2008","Russell Martin","Dodgers","155","650","13","87","69","18","13.8 %","12.8 %",".116",".309",".280",".385",".396",".350","112","1.4","11.2","16.6","4.9","4616"
"2002","Shawn Green","Dodgers","158","685","42","110","114","8","13.6 %","16.4 %",".273",".286",".285",".385",".558",".394","147","-3.7","36.6","-10.3","4.9","651"
"2003","Luis Castillo","Marlins","152","676","6","99","39","21","9.3 %","8.9 %",".082",".342",".314",".381",".397",".348","113","2.4","13.4","13.8","4.9","513"
"2002","Mark Kotsay","Padres","153","646","17","82","61","11","9.1 %","13.8 %",".159",".319",".292",".359",".452",".355","121","-1.2","16.1","11.4","4.9","1042"
"2005","Geoff Jenkins","Brewers","148","618","25","87","86","0","9.1 %","22.3 %",".221",".347",".292",".375",".513",".379","130","-2.5","20.4","7.8","4.9","690"
